date,views,likes,comments,dislikes,shares,subscribersLost,subscribersGained,estimatedMinutesWatched
2022-08-14,42,2,0,0,1,0,1,117
2022-08-16,36,2,0,0,0,0,1,147
2022-08-29,43,2,0,0,0,1,1,174
2022-09-13,52,2,0,0,2,0,1,171
2022-09-15,47,2,0,0,0,0,1,164
2021-06-20,30,3,1,0,0,0,1,20
2021-07-13,95,3,0,0,1,0,1,113
2021-07-21,105,3,1,0,0,0,1,143
2021-09-10,95,3,1,0,0,0,1,180
2021-09-22,107,3,0,0,3,0,1,198
2021-09-27,98,3,0,0,0,1,1,100
2021-10-05,181,3,1,0,7,0,1,294
2021-10-30,146,3,0,0,0,0,1,219
2021-11-13,138,3,0,0,0,0,1,155
2021-11-24,167,3,1,0,4,1,1,317
2021-11-28,170,3,0,0,2,0,1,244
2021-12-11,190,3,0,0,4,0,1,232
2022-01-24,301,3,0,0,0,1,1,259
2022-02-10,286,3,0,0,6,0,1,357
2022-02-11,244,3,0,0,0,0,1,236
2022-02-19,265,3,1,0,2,0,1,341
2022-04-10,304,3,0,2,3,0,1,448
2022-04-29,98,3,0,0,0,0,1,135
2022-05-18,103,3,0,0,0,0,1,288
2022-06-29,31,3,1,0,1,0,1,95
2022-07-26,54,3,0,0,0,0,1,114
2022-08-28,47,3,0,0,1,0,1,161
2022-09-26,80,3,0,0,1,0,1,223
2022-09-27,86,3,0,0,1,0,1,245
2022-10-02,89,3,0,0,1,0,1,226
2022-10-03,68,3,0,0,3,0,1,199
2022-10-09,100,3,0,0,0,0,1,311
2021-05-20,215,4,1,0,0,1,1,205
2021-06-28,16,4,1,0,0,1,1,62
2021-08-16,132,4,0,0,0,0,1,124
2021-08-23,148,4,0,0,0,0,1,137
2021-10-03,180,4,1,1,3,0,1,268
2021-10-19,163,4,0,0,1,0,1,172
2021-12-09,224,4,1,0,2,0,1,310
2021-12-15,209,4,0,0,0,0,1,272
2022-01-09,58,4,0,1,0,1,1,142
2022-02-15,342,4,0,1,2,0,1,430
2022-04-06,314,4,0,0,6,0,1,618
2022-04-11,241,4,0,0,1,0,1,373
2022-05-12,141,4,0,0,2,0,1,478
2022-06-12,169,4,0,1,1,0,1,488
2021-05-18,221,5,2,1,0,1,1,186
2021-10-12,189,5,4,0,0,1,1,227
2021-10-14,211,5,0,0,7,0,1,344
2022-02-28,226,5,2,0,1,0,1,388
2021-04-02,126,6,1,0,0,0,1,27
2021-04-03,117,6,0,0,1,0,1,62
2021-06-15,63,6,1,0,0,0,1,111
2021-07-29,93,6,1,0,0,1,1,157
2021-08-29,137,6,0,0,0,0,1,177
2021-10-13,194,6,1,0,3,0,1,286
2021-10-21,157,6,1,0,0,0,1,203
2021-10-29,157,6,0,0,0,0,1,154
2021-11-19,127,6,0,0,3,0,1,165
2021-11-30,116,6,1,1,1,0,1,183
2022-01-10,284,6,1,0,5,0,1,354
2022-01-31,159,6,0,0,0,1,1,268
2022-04-03,340,6,0,0,3,0,1,520
2022-04-07,338,6,0,2,4,0,1,541
2022-05-04,236,6,1,0,4,0,1,554
2022-05-11,140,6,0,0,2,0,1,513
2022-05-31,284,6,1,0,2,0,1,487
2021-03-28,143,7,1,0,0,0,1,62
2021-03-31,36,7,0,0,0,0,1,44
2021-04-04,121,7,1,0,0,0,1,74
2021-05-12,283,7,0,0,2,0,1,410
2021-06-08,197,7,2,1,0,0,1,326
2022-04-21,201,7,5,0,4,0,1,551
2022-05-10,168,7,0,0,0,0,1,517
2022-07-03,50,7,1,0,1,0,1,136
2021-08-01,78,8,0,0,0,0,1,56
2021-03-26,191,9,3,0,0,0,1,92
2021-04-23,141,9,1,0,1,0,1,123
2021-05-25,244,9,1,0,0,1,1,244
2021-11-15,181,9,0,0,2,0,1,430
2021-03-19,163,10,0,0,0,0,1,47
2021-03-22,268,10,1,0,1,0,1,137
2022-08-03,39,-1,0,0,0,0,1,114
2021-12-24,112,0,0,0,0,0,2,46
2021-12-25,123,0,0,0,0,0,2,56
2021-06-05,176,1,0,0,1,0,2,248
2021-06-26,11,1,0,0,0,0,2,2
2021-07-23,67,1,1,0,0,0,2,40
2021-07-28,81,1,0,0,0,0,2,88
2021-08-07,109,1,0,2,0,0,2,77
2021-08-22,130,1,0,0,0,0,2,175
2021-09-18,86,1,0,0,2,0,2,147
2021-10-08,125,1,0,1,0,0,2,178
2021-10-26,187,1,0,0,0,0,2,258
2021-11-18,161,1,0,0,3,0,2,234
2021-12-31,70,1,2,1,1,1,2,73
2022-07-02,50,1,0,0,0,0,2,150
2022-09-20,68,1,2,0,1,0,2,235
2022-10-07,68,1,0,0,0,0,2,162
2021-04-21,206,2,0,0,1,0,2,202
2021-07-04,77,2,1,0,0,0,2,98
2021-07-17,103,2,0,0,1,0,2,218
2021-08-14,136,2,0,0,0,1,2,203
2021-08-27,123,2,1,1,1,0,2,187
2021-08-31,87,2,0,0,0,0,2,176
2021-10-16,144,2,0,1,1,0,2,166
2021-10-24,208,2,0,0,4,0,2,301
2021-11-09,164,2,0,1,1,0,2,237
2021-11-26,103,2,1,0,0,0,2,144
2021-12-16,221,2,0,0,3,0,2,237
2021-12-29,143,2,0,0,1,0,2,120
2022-01-20,306,2,0,1,2,0,2,413
2022-02-07,160,2,0,0,0,1,2,251
2022-02-25,163,2,0,0,0,0,2,231
2022-04-09,255,2,0,0,2,0,2,526
2022-04-15,309,2,0,0,2,0,2,463
2022-04-16,255,2,1,0,0,0,2,385
2022-04-23,144,2,0,0,6,0,2,400
2022-06-01,324,2,0,0,1,0,2,477
2022-06-15,126,2,0,0,4,0,2,363
2022-07-23,20,2,0,0,0,0,2,39
2022-07-25,38,2,0,0,0,0,2,126
2022-09-01,56,2,1,0,0,0,2,143
2021-05-21,192,3,1,0,0,0,2,281
2021-09-08,115,3,0,0,2,0,2,219
2021-09-13,100,3,1,0,0,0,2,147
2021-11-05,113,3,0,0,1,0,2,190
2021-11-07,178,3,0,0,0,0,2,258
2021-11-12,125,3,0,0,0,0,2,139
2022-01-13,280,3,0,0,0,0,2,331
2022-02-26,174,3,0,0,0,0,2,217
2022-03-12,172,3,0,0,1,0,2,214
2022-05-24,295,3,0,0,1,0,2,531
2022-06-04,303,3,0,0,1,0,2,549
2022-10-10,96,3,0,0,2,0,2,303
2021-05-22,181,4,0,0,0,0,2,144
2021-07-20,111,4,0,0,0,0,2,129
2021-10-04,162,4,0,0,3,0,2,268
2022-03-03,206,4,1,0,1,0,2,314
